+----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------+
| ID                                                                   | Name                                                                                                                   | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                          |
+----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------+
| animania:animania/chickens                                           | [Chickens]                                                                                                             | Animania Chickens                                                                                                                                                                                                                                                                                                                                                                                                | animania:animania/root                          |
| animania:animania/cows                                               | [Cows]                                                                                                                 | Animania Cows                                                                                                                                                                                                                                                                                                                                                                                                    | animania:animania/root                          |
| animania:animania/feed_chicken_leghorn                               | [Leghorn]                                                                                                              | Feed a Leghorn chicken                                                                                                                                                                                                                                                                                                                                                                                           | animania:animania/chickens                      |
| animania:animania/feed_chicken_orpington                             | [Orpington]                                                                                                            | Feed a Orpington chicken                                                                                                                                                                                                                                                                                                                                                                                         | animania:animania/feed_chicken_leghorn          |
| animania:animania/feed_chicken_plymouth_rock                         | [Plymouth Rock]                                                                                                        | Feed a Plymouth Rock chicken                                                                                                                                                                                                                                                                                                                                                                                     | animania:animania/feed_chicken_orpington        |
| animania:animania/feed_chicken_rhode_island_red                      | [Rhode Island Red]                                                                                                     | Feed a Rhode Island Red chicken                                                                                                                                                                                                                                                                                                                                                                                  | animania:animania/feed_chicken_plymouth_rock    |
| animania:animania/feed_chicken_wyandotte                             | [Wyandotte]                                                                                                            | Feed a Wyandotte chicken                                                                                                                                                                                                                                                                                                                                                                                         | animania:animania/feed_chicken_rhode_island_red |
| animania:animania/feed_cow_angus                                     | [Angus]                                                                                                                | Feed an Angus cow                                                                                                                                                                                                                                                                                                                                                                                                | animania:animania/cows                          |
| animania:animania/feed_cow_friesian                                  | [Friesian]                                                                                                             | Feed a Friesian cow                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_cow_angus                |
| animania:animania/feed_cow_hereford                                  | [Hereford]                                                                                                             | Feed a Hereford cow                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_cow_friesian             |
| animania:animania/feed_cow_highland                                  | [Highland]                                                                                                             | Feed a Highland cow                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_cow_jersey               |
| animania:animania/feed_cow_holstein                                  | [Holstein]                                                                                                             | Feed a Holstein cow                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_cow_hereford             |
| animania:animania/feed_cow_jersey                                    | [Jersey]                                                                                                               | Feed a Jersey cow                                                                                                                                                                                                                                                                                                                                                                                                | animania:animania/feed_cow_longhorn             |
| animania:animania/feed_cow_longhorn                                  | [Longhorn]                                                                                                             | Feed a Longhorn cow                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_cow_holstein             |
| animania:animania/feed_cow_mooshroom                                 | [Mooshroom]                                                                                                            | Feed a Mooshroom cow                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_cow_highland             |
| animania:animania/feed_ferret_grey                                   | [Grey Ferret]                                                                                                          | Feed a Grey Ferret                                                                                                                                                                                                                                                                                                                                                                                               | animania:animania/root                          |
| animania:animania/feed_ferret_white                                  | [White Ferret]                                                                                                         | Feed a White Ferret                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_ferret_grey              |
| animania:animania/feed_goat_alpine                                   | [Alpine]                                                                                                               | Feed an Alpine goat                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/goats                         |
| animania:animania/feed_goat_angora                                   | [Angora]                                                                                                               | Feed an Angora goat                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_goat_alpine              |
| animania:animania/feed_goat_fainting                                 | [Fainting]                                                                                                             | Feed a Fainting goat                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_goat_angora              |
| animania:animania/feed_goat_kiko                                     | [Kiko]                                                                                                                 | Feed a Kiko goat                                                                                                                                                                                                                                                                                                                                                                                                 | animania:animania/feed_goat_fainting            |
| animania:animania/feed_goat_kinder                                   | [Kinder]                                                                                                               | Feed a Kinder goat                                                                                                                                                                                                                                                                                                                                                                                               | animania:animania/feed_goat_kiko                |
