+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|   0 | minecraft:ocean                            | Ocean                   |  0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|   1 | minecraft:plains                           | Plains                  |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|   2 | minecraft:desert                           | Desert                  |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|   3 | minecraft:extreme_hills                    | Extreme Hills           |  0.20 | MEDIUM   | 0.30 | false | false   | COOL, WARM | HILLS, MOUNTAIN                                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|   4 | minecraft:forest                           | Forest                  |  0.70 | MEDIUM   | 0.80 | false | false   | COOL, WARM | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|   5 | minecraft:taiga                            | Taiga                   |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                                          | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|   6 | minecraft:swampland                        | Swampland               |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP, WET                                                        | village                    | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
|   7 | minecraft:river                            | River                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|   8 | minecraft:hell                             | Hell                    |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|   9 | minecraft:sky                              | The End                 |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  10 | minecraft:frozen_ocean                     | FrozenOcean             |  0.00 | OCEAN    | 0.50 |  true | true    |            | COLD, OCEAN, SNOWY, WATER                                         |                            | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  11 | minecraft:frozen_river                     | FrozenRiver             |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                                         |                            | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  12 | minecraft:ice_flats                        | Ice Plains              |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, SNOWY, WASTELAND                                            | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  13 | minecraft:ice_mountains                    | Ice Mountains           |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, MOUNTAIN, SNOWY                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  14 | minecraft:mushroom_island                  | MushroomIsland          |  0.90 | MEDIUM   | 1.00 | false | false   |            | MUSHROOM, RARE                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF55C93F ( -11155137) | 0xFF2BBB0F ( -13911281) |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore     |  0.90 | MEDIUM   | 1.00 | false | false   |            | BEACH, MUSHROOM, RARE                                             |                            | 0x00FFFFFF (  16777215) | 0xFF55C93F ( -11155137) | 0xFF2BBB0F ( -13911281) |
|  16 | minecraft:beaches                          | Beach                   |  0.80 | MEDIUM   | 0.40 | false | false   |            | BEACH                                                             |                            | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  17 | minecraft:desert_hills                     | DesertHills             |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, SANDY                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  18 | minecraft:forest_hills                     | ForestHills             |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  19 | minecraft:taiga_hills                      | TaigaHills              |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS                                   | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge      |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN                                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  21 | minecraft:jungle                           | Jungle                  |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  22 | minecraft:jungle_hills                     | JungleHills             |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HILLS, HOT, JUNGLE, WET                                    | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  23 | minecraft:jungle_edge                      | JungleEdge              |  0.95 | MEDIUM   | 0.80 | false | false   |            | FOREST, HOT, JUNGLE, RARE, WET                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF64C73F ( -10172609) | 0xFF3EB80F ( -12666865) |
|  24 | minecraft:deep_ocean                       | Deep Ocean              |  0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  25 | minecraft:stone_beach                      | Stone Beach             |  0.20 | MEDIUM   | 0.30 | false | false   |            | BEACH                                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  26 | minecraft:cold_beach                       | Cold Beach              |  0.05 | COLD     | 0.30 |  true | false   |            | BEACH, COLD, SNOWY                                                |                            | 0x00FFFFFF (  16777215) | 0xFF83B593 (  -8145517) | 0xFF64A278 ( -10182024) |
|  27 | minecraft:birch_forest                     | Birch Forest            |  0.60 | MEDIUM   | 0.60 | false | false   | WARM       | BIRCH_TREES, FOREST, THEMED_TREES                                 | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills      |  0.60 | MEDIUM   | 0.60 | false | false   |            | BIRCH_TREES, FOREST, HILLS, THEMED_TREES                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  29 | minecraft:roofed_forest                    | Roofed Forest           |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | BIRCH_TREES, DENSE, FOREST, SPOOKY, THEMED_TREES                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  30 | minecraft:taiga_cold                       | Cold Taiga              | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills        | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, HILLS, SNOWY                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  32 | minecraft:redwood_taiga                    | Mega Taiga              |  0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MEGA_TAIGA_TREES, THEMED_TREES          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B87F (  -7948161) | 0xFF68A55F (  -9919137) |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills        |  0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS, MEGA_TAIGA_TREES, THEMED_TREES   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B87F (  -7948161) | 0xFF68A55F (  -9919137) |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+          |  0.20 | MEDIUM   | 0.30 | false | false   |            | FOREST, MOUNTAIN, SPARSE                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  35 | minecraft:savanna                          | Savanna                 |  1.20 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, SAVANNA, SPARSE                                      | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  36 | minecraft:savanna_rock                     | Savanna Plateau         |  1.00 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, RARE, SAVANNA, SPARSE                                | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  37 | minecraft:mesa                             | Mesa                    |  2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY, SPARSE                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau            |  2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  40 | randomthings:spectral                      | Spectral                |  0.20 | MEDIUM   | 0.50 | false | false   |            | MAGICAL                                                           | stronghold                 | 0xFF00FFFF ( -16711681) | 0xFF88B688 (  -7817592) | 0xFF6BA36A (  -9723030) |
|  41 | thaumcraft:magical_forest                  | Magical Forest          |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | FOREST, MAGICAL                                                   | stronghold                 | 0x000077EE (     30702) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  42 | thaumcraft:eerie                           | Eerie                   |  0.80 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, SPOOKY                                                   | stronghold                 | 0x002E535F (   3035999) | 0xFF8ABF57 (  -7684265) | 0xFF6DAE2C (  -9589204) |
|  43 | thaumcraft:eldritch                        | Outer Lands             |  0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                                              | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA2BA5D (  -6112675) | 0xFF8BA835 (  -7624651) |
|  44 | twilightforest:twilight_lake               | Twilight Lake           |  0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, TWILIGHT, WATER                                            |                            | 0x00FFFFFF (  16777215) | 0xFF70C15B (  -9387685) | 0xFF4CB031 ( -11751375) |
|  45 | twilightforest:twilight_forest             | Twilight Forest         |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, TWILIGHT                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  46 | twilightforest:dense_twilight_forest       | Dense Twilight Forest   |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, TWILIGHT                                           | stronghold                 | 0x00005522 (     21794) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  47 | twilightforest:twilight_highlands          | Twilight Highlands      |  0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN, TWILIGHT                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88B977 (  -7816841) | 0xFF6AA755 (  -9787563) |
|  48 | twilightforest:mushroom_forest             | Mushroom Forest         |  0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                                        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF72C250 (  -9256368) | 0xFF4EB224 ( -11619804) |
|  49 | twilightforest:twilight_swamp              | Twilight Swamp          |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, TWILIGHT, WET                                              |                            | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
|  50 | twilightforest:twilight_stream             | Twilight Stream         |  0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, TWILIGHT, WATER                                            |                            | 0x00FFFFFF (  16777215) | 0xFF9CB774 (  -6506636) | 0xFF83A352 (  -8150190) |
|  51 | twilightforest:snowy_forest                | Snowy Forest            |  0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY, TWILIGHT                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF83B690 (  -8145264) | 0xFF64A273 ( -10182029) |
|  52 | twilightforest:twilight_glacier            | Twilight Glacier        |  0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, TWILIGHT, WASTELAND                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  53 | twilightforest:twilight_clearing           | Twilight Clearing       |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE, TWILIGHT                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  54 | twilightforest:oak_savannah                | Oak Savanna             |  0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE, TWILIGHT                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFB9B75B (  -4606117) | 0xFFA6A432 (  -5856206) |
|  55 | twilightforest:firefly_forest              | Firefly Forest          |  0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH, TWILIGHT                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF7CBD6B (  -8602261) | 0xFF5BAB46 ( -10769594) |
|  56 | twilightforest:deep_mushroom_forest        | Deep Mushroom Forest    |  0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                                        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF61C64B ( -10369461) | 0xFF3BB61E ( -12863970) |
|  57 | twilightforest:dark_forest                 | Dark Forest             |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY, TWILIGHT                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  58 | twilightforest:enchanted_forest            | Enchanted Forest        |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL, TWILIGHT                                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  59 | twilightforest:fire_swamp                  | Fire Swamp              |  1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, TWILIGHT, WASTELAND                                   | stronghold                 | 0x006C2C2C (   7089196) | 0xFF8EC048 (  -7421880) | 0xFF72AF1A (  -9261286) |
|  60 | twilightforest:dark_forest_center          | Dark Forest Center      |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY, TWILIGHT                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  61 | twilightforest:highlands_center            | Final Plateau           |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, TWILIGHT, WASTELAND                              | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF90B682 (  -7293310) | 0xFF74A362 (  -9133214) |
|  62 | twilightforest:thornlands                  | Thornlands              |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, TWILIGHT, WASTELAND                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF90B682 (  -7293310) | 0xFF74A362 (  -9133214) |
|  63 | twilightforest:spooky_forest               | Spooky Forest           |  0.50 | MEDIUM   | 1.00 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY, TWILIGHT                             | stronghold                 | 0x00FA9111 (  16421137) | 0xFF7CBD6B (  -8602261) | 0xFF5BAB46 ( -10769594) |
|  64 | defiledlands:desert_defiled                | Defiled Desert          |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY, SPOOKY                                           | stronghold                 | 0x006B5B68 (   7035752) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  65 | defiledlands:plains_defiled                | Defiled Plains          |  0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS, SPOOKY                                                    | stronghold                 | 0x006B5B68 (   7035752) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  66 | defiledlands:forest_tenebra                | Tenebra Forest          |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, SPOOKY                                                    | stronghold                 | 0x006B5B68 (   7035752) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  67 | defiledlands:forest_vilespine              | Vilespine Forest        |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, SPOOKY                                                    | stronghold                 | 0x006B5B68 (   7035752) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  68 | defiledlands:hills_defiled                 | Defiled Hills           |  0.20 | MEDIUM   | 0.30 | false | false   | COOL       | HILLS, MOUNTAIN, SPOOKY                                           | stronghold                 | 0x006B5B68 (   7035752) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  69 | defiledlands:swamp_defiled                 | Defiled Swamp           |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SPOOKY, SWAMP, WET                                                |                            | 0x006B5B68 (   7035752) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
