+-----+--------------------------------------------+-------------------------+------------+-------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name              | BiomeType  | BiomeDictionary.Type                                              | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
+-----+--------------------------------------------+-------------------------+------------+-------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   0 | minecraft:ocean                            | Ocean                   |            | OCEAN, WATER                                                      | { charm:spectre [weight: 5, min: 4, max: 8] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gspossessedarmor [weight: 20, min: 1, max: 3] }; { gravestone-extended:gstoxicsludge [weight: 5, min: 1, max: 2] }; { gravestone-extended:gsvampirebat [weight: 30, min: 1, max: 5] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { rats:illager_piper [weight: 6, min: 1, max: 1] }; { rats:rat [weight: 80, min: 1, max: 3] }; { trumpetskeleton:trumpet_skeleton [weight: 25, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { gravestone-extended:gsphantomdiver [weight: 5, min: 1, max: 1] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   1 | minecraft:plains                           | Plains                  | COOL, WARM | PLAINS                                                            | { charm:spectre [weight: 5, min: 4, max: 8] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gspossessedarmor [weight: 20, min: 1, max: 3] }; { gravestone-extended:gsskeletonhorse [weight: 5, min: 1, max: 3] }; { gravestone-extended:gsskeletonraider [weight: 2, min: 1, max: 1] }; { gravestone-extended:gstoxicsludge [weight: 5, min: 1, max: 2] }; { gravestone-extended:gsvampirebat [weight: 30, min: 1, max: 5] }; { gravestone-extended:gszombiehorse [weight: 5, min: 1, max: 3] }; { gravestone-extended:gszombieraider [weight: 2, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { rats:illager_piper [weight: 6, min: 1, max: 1] }; { rats:rat [weight: 80, min: 1, max: 3] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { trumpetskeleton:trumpet_skeleton [weight: 25, min: 4, max: 4] }; { animania:cow_friesian [weight: 9, min: 2, max: 2] }; { animania:doe_angora [weight: 4, min: 2, max: 2] }; { animania:doe_dutch [weight: 4, min: 2, max: 2] }; { animania:doe_fainting [weight: 4, min: 2, max: 2] }; { animania:doe_lop [weight: 4, min: 2, max: 2] }; { animania:ewe_friesian [weight: 8, min: 2, max: 3] }; { animania:ewe_merino [weight: 8, min: 2, max: 3] }; { animania:hen_leghorn [weight: 9, min: 2, max: 2] }; { animania:mare_draft [weight: 8, min: 1, max: 2] }; { animania:sow_yorkshire [weight: 4, min: 2, max: 2] }; { chococraft:chocobo [weight: 10, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { familiarfauna:familiarfauna.butterfly [weight: 1, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   2 | minecraft:desert                           | Desert                  |            | DRY, HOT, SANDY                                                   | { charm:spectre [weight: 5, min: 4, max: 8] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gsmummy [weight: 20, min: 1, max: 3] }; { gravestone-extended:gspossessedarmor [weight: 20, min: 1, max: 3] }; { gravestone-extended:gstoxicsludge [weight: 5, min: 1, max: 2] }; { gravestone-extended:gsvampirebat [weight: 30, min: 1, max: 5] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { rats:illager_piper [weight: 6, min: 1, max: 1] }; { rats:rat [weight: 80, min: 1, max: 3] }; { trumpetskeleton:trumpet_skeleton [weight: 25, min: 4, max: 4] }; { animania:doe_jack [weight: 8, min: 2, max: 2] }; { animania:doe_nigerian_dwarf [weight: 8, min: 2, max: 2] }; { animania:hamster [weight: 8, min: 1, max: 2] }; { iceandfire:deathworm [weight: 2, min: 1, max: 3] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|   3 | minecraft:extreme_hills                    | Extreme Hills           | COOL, WARM | HILLS, MOUNTAIN                                                   | { charm:spectre [weight: 5, min: 4, max: 8] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gspossessedarmor [weight: 20, min: 1, max: 3] }; { gravestone-extended:gstoxicsludge [weight: 5, min: 1, max: 2] }; { gravestone-extended:gsvampirebat [weight: 30, min: 1, max: 5] }; { iceandfire:if_troll [weight: 500, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { rats:illager_piper [weight: 6, min: 1, max: 1] }; { rats:rat [weight: 80, min: 1, max: 3] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { trumpetskeleton:trumpet_skeleton [weight: 25, min: 4, max: 4] }; { animania:cow_hereford [weight: 9, min: 2, max: 2] }; { animania:cow_highland [weight: 9, min: 2, max: 2] }; { animania:doe_alpine [weight: 8, min: 2, max: 2] }; { animania:doe_havana [weight: 8, min: 2, max: 2] }; { animania:doe_kiko [weight: 8, min: 2, max: 2] }; { animania:ewe_dorset [weight: 8, min: 2, max: 3] }; { animania:hen_plymouth_rock [weight: 9, min: 2, max: 2] }; { animania:sow_hampshire [weight: 9, min: 2, max: 2] }; { chococraft:chocobo [weight: 10, min: 1, max: 3] }; { familiarfauna:familiarfauna.deer [weight: 8, min: 2, max: 4] }; { familiarfauna:familiarfauna.turkey [weight: 10, min: 3, max: 4] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|   4 | minecraft:forest                           | Forest                  | COOL, WARM | FOREST                                                            | { charm:spectre [weight: 5, min: 4, max: 8] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gsbarghest [weight: 5, min: 1, max: 1] }; { gravestone-extended:gspossessedarmor [weight: 20, min: 1, max: 3] }; { gravestone-extended:gsskeletondog [weight: 50, min: 1, max: 1] }; { gravestone-extended:gstoxicsludge [weight: 5, min: 1, max: 2] }; { gravestone-extended:gsvampirebat [weight: 30, min: 1, max: 5] }; { gravestone-extended:gszombiedog [weight: 50, min: 1, max: 3] }; { iceandfire:if_troll [weight: 500, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { rats:illager_piper [weight: 6, min: 1, max: 1] }; { rats:rat [weight: 80, min: 1, max: 3] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { trumpetskeleton:trumpet_skeleton [weight: 25, min: 4, max: 4] }; { animania:cow_holstein [weight: 9, min: 2, max: 2] }; { animania:dartfrog [weight: 18, min: 2, max: 2] }; { animania:doe_cottontail [weight: 8, min: 2, max: 2] }; { animania:doe_lop [weight: 4, min: 2, max: 2] }; { animania:doe_new_zealand [weight: 8, min: 2, max: 2] }; { animania:ewe_jacob [weight: 8, min: 2, max: 3] }; { animania:hedgehog [weight: 8, min: 1, max: 2] }; { animania:hen_rhode_island_red [weight: 9, min: 2, max: 2] }; { animania:hen_wyandotte [weight: 9, min: 2, max: 2] }; { animania:sow_large_white [weight: 9, min: 2, max: 2] }; { animania:sow_old_spot [weight: 9, min: 2, max: 2] }; { animania:toad [weight: 18, min: 2, max: 2] }; { familiarfauna:familiarfauna.deer [weight: 8, min: 2, max: 4] }; { familiarfauna:familiarfauna.turkey [weight: 10, min: 3, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { familiarfauna:familiarfauna.butterfly [weight: 1, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   5 | minecraft:taiga                            | Taiga                   | COOL       | COLD, CONIFEROUS, FOREST                                          | { charm:spectre [weight: 5, min: 4, max: 8] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gsbarghest [weight: 5, min: 1, max: 1] }; { gravestone-extended:gspossessedarmor [weight: 20, min: 1, max: 3] }; { gravestone-extended:gsskeletondog [weight: 50, min: 1, max: 1] }; { gravestone-extended:gstoxicsludge [weight: 5, min: 1, max: 2] }; { gravestone-extended:gsvampirebat [weight: 30, min: 1, max: 5] }; { gravestone-extended:gszombiedog [weight: 50, min: 1, max: 3] }; { iceandfire:if_troll [weight: 500, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { rats:illager_piper [weight: 6, min: 1, max: 1] }; { rats:rat [weight: 80, min: 1, max: 3] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { trumpetskeleton:trumpet_skeleton [weight: 25, min: 4, max: 4] }; { animania:cow_holstein [weight: 9, min: 2, max: 2] }; { animania:dartfrog [weight: 18, min: 2, max: 2] }; { animania:doe_cottontail [weight: 8, min: 2, max: 2] }; { animania:doe_lop [weight: 4, min: 2, max: 2] }; { animania:doe_new_zealand [weight: 8, min: 2, max: 2] }; { animania:ewe_jacob [weight: 8, min: 2, max: 3] }; { animania:hedgehog [weight: 8, min: 1, max: 2] }; { animania:hen_rhode_island_red [weight: 9, min: 2, max: 2] }; { animania:hen_wyandotte [weight: 9, min: 2, max: 2] }; { animania:sow_large_white [weight: 9, min: 2, max: 2] }; { animania:sow_old_spot [weight: 9, min: 2, max: 2] }; { animania:toad [weight: 18, min: 2, max: 2] }; { familiarfauna:familiarfauna.deer [weight: 8, min: 2, max: 4] }; { familiarfauna:familiarfauna.turkey [weight: 10, min: 3, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|   6 | minecraft:swampland                        | Swampland               | WARM       | SWAMP, WET                                                        | { charm:spectre [weight: 5, min: 4, max: 8] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gspossessedarmor [weight: 20, min: 1, max: 3] }; { gravestone-extended:gstoxicsludge [weight: 5, min: 1, max: 2] }; { gravestone-extended:gsvampirebat [weight: 30, min: 1, max: 5] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { rats:illager_piper [weight: 6, min: 1, max: 1] }; { rats:rat [weight: 80, min: 1, max: 3] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { trumpetskeleton:trumpet_skeleton [weight: 25, min: 4, max: 4] }; { animania:cow_angus [weight: 9, min: 2, max: 2] }; { animania:cow_jersey [weight: 9, min: 2, max: 2] }; { animania:frog [weight: 18, min: 2, max: 2] }; { animania:hedgehog_albino [weight: 8, min: 1, max: 2] }; { animania:hen_orpington [weight: 9, min: 2, max: 2] }; { animania:peachick_blue [weight: 4, min: 2, max: 2] }; { animania:peachick_charcoal [weight: 4, min: 1, max: 2] }; { animania:peachick_opal [weight: 4, min: 1, max: 2] }; { animania:peachick_peach [weight: 4, min: 1, max: 2] }; { animania:peachick_purple [weight: 4, min: 1, max: 2] }; { animania:peachick_taupe [weight: 4, min: 1, max: 2] }; { animania:peachick_white [weight: 4, min: 2, max: 2] }; { animania:peacock_blue [weight: 8, min: 2, max: 2] }; { animania:peacock_charcoal [weight: 8, min: 1, max: 2] }; { animania:peacock_opal [weight: 8, min: 1, max: 2] }; { animania:peacock_peach [weight: 8, min: 1, max: 2] }; { animania:peacock_purple [weight: 8, min: 1, max: 2] }; { animania:peacock_taupe [weight: 8, min: 1, max: 2] }; { animania:peacock_white [weight: 8, min: 2, max: 2] }; { animania:peahen_blue [weight: 8, min: 2, max: 2] }; { animania:peahen_charcoal [weight: 8, min: 1, max: 2] }; { animania:peahen_opal [weight: 8, min: 1, max: 2] }; { animania:peahen_peach [weight: 8, min: 1, max: 2] }; { animania:peahen_purple [weight: 8, min: 1, max: 2] }; { animania:peahen_taupe [weight: 8, min: 1, max: 2] }; { animania:peahen_white [weight: 8, min: 2, max: 2] }; { animania:sow_large_black [weight: 9, min: 2, max: 2] }; { animania:toad [weight: 18, min: 2, max: 2] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { quark:frog [weight: 40, min: 1, max: 3] }; { familiarfauna:familiarfauna.dragonfly [weight: 1, min: 1, max: 2] }; { familiarfauna:familiarfauna.snail [weight: 1, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { gravestone-extended:gsdrowned [weight: 15, min: 1, max: 1] }; { gravestone-extended:gsswampthing [weight: 50, min: 1, max: 3] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|   7 | minecraft:river                            | River                   |            | RIVER, WATER                                                      | { charm:spectre [weight: 5, min: 4, max: 8] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gspossessedarmor [weight: 20, min: 1, max: 3] }; { gravestone-extended:gstoxicsludge [weight: 5, min: 1, max: 2] }; { gravestone-extended:gsvampirebat [weight: 30, min: 1, max: 5] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { rats:illager_piper [weight: 6, min: 1, max: 1] }; { rats:rat [weight: 80, min: 1, max: 3] }; { trumpetskeleton:trumpet_skeleton [weight: 25, min: 4, max: 4] }; { animania:frog [weight: 18, min: 2, max: 2] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { gravestone-extended:gsdrowned [weight: 15, min: 1, max: 1] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   8 | minecraft:hell                             | Hell                    |            | DRY, HOT, NETHER                                                  | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { gravestone-extended:gswitheredbat [weight: 40, min: 1, max: 3] }; { gravestone-extended:gswitherskullcrawler [weight: 5, min: 1, max: 4] }; { minecraft:blaze [weight: 5, min: 1, max: 2] }; { minecraft:enderman [weight: 1, min: 4, max: 4] }; { minecraft:ghast [weight: 50, min: 4, max: 4] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:zombie_pigman [weight: 100, min: 4, max: 4] }; { quark:foxhound [weight: 10, min: 1, max: 2] }; { quark:wraith [weight: 60, min: 4, max: 6] }; { thaumcraft:firebat [weight: 10, min: 1, max: 2] }; { thaumcraft:wisp [weight: 5, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
