+----------------------------+-------------------------------------------------+--------------------------------------------+--------------------------------------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                                                                         |
| of the Block class in question. The actual final values may be different                                                                                               |
| for different states of the block, or they may depend on a TileEntity etc.                                                                                             |
+----------------------------+-------------------------------------------------+--------------------------------------------+--------------------------------------------+
| Mod name                   | Registry name                                   |                                   Hardness |                                 Resistance |
+----------------------------+-------------------------------------------------+--------------------------------------------+--------------------------------------------+
| Animania                   | animania:block_hamster_wheel                    |                                       1.40 |                                      10.20 |
| Animania                   | animania:block_hive                             |                                       1.30 |                                       0.90 |
| Animania                   | animania:block_mud                              |                                       1.00 |                                       3.00 |
| Animania                   | animania:block_nest                             |                                       1.00 |                                       3.00 |
| Animania                   | animania:block_seeds                            |                                       0.00 |                                       0.00 |
| Animania                   | animania:block_straw                            |                                       0.00 |                                       0.00 |
| Animania                   | animania:block_trough                           |                                       1.00 |                                       3.00 |
| Animania                   | animania:block_wild_hive                        |                                       1.30 |                                       0.90 |
| Animania                   | animania:cheese_friesian                        |                                       0.60 |                                       3.00 |
| Animania                   | animania:cheese_goat                            |                                       0.60 |                                       3.00 |
| Animania                   | animania:cheese_holstein                        |                                       0.60 |                                       3.00 |
| Animania                   | animania:cheese_jersey                          |                                       0.60 |                                       3.00 |
| Animania                   | animania:cheese_mold                            |                                       0.90 |                                       3.60 |
| Animania                   | animania:cheese_sheep                           |                                       0.60 |                                       3.00 |
| Animania                   | animania:honey                                  |                                     100.00 |                                     500.00 |
| Animania                   | animania:invisiblock                            |                                       1.00 |                                       3.00 |
| Animania                   | animania:milk_friesian                          |                                     100.00 |                                     500.00 |
| Animania                   | animania:milk_goat                              |                                     100.00 |                                     500.00 |
| Animania                   | animania:milk_holstein                          |                                     100.00 |                                     500.00 |
| Animania                   | animania:milk_jersey                            |                                     100.00 |                                     500.00 |
| Animania                   | animania:milk_sheep                             |                                     100.00 |                                     500.00 |
| Animania                   | animania:salt_lick                              |                                       1.20 |                                       5.10 |
| Animania                   | animania:slop                                   |                                     100.00 |                                     500.00 |
| Animania                   | animania:wool                                   |                                       0.80 |                                       4.00 |
| Better Survival            | mujmajnkraftsbettersurvival:customcauldron      |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:armorstand                          |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:bell                                |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:bookcase                            |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:bookcasecreative                    |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:case                                |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:clipboard                           |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:clock                               |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:cookiejar                           |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:desk                                |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:dinnerplate                         |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:fancysign                           |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:fancyworkbench                      |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:framedchest                         |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:furniturepaneler                    |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:label                               |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:mapframe                            |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:markerpole                          |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:paintingframeborderless             |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:paintingframefancy                  |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:paintingframeflat                   |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:paintingframemiddle                 |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:paintingframesimple                 |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:paintingpress                       |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:potionshelf                         |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:printingpress                       |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:seat                                |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:shelf                               |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:swordpedestal                       |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:table                               |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:toolrack                            |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:typesettingtable                    |                                       0.00 |                                       0.00 |
| BiblioCraft                | bibliocraft:typewriter                          |                                       0.00 |                                       0.00 |
| Bountiful Baubles          | bountifulbaubles:reforger                       |                                       3.00 |                                     300.00 |
| Campfire Spit              | tanspit:spit                                    |                                       0.00 |                                       0.00 |
| Charm                      | charm:barrel                                    |                                       2.50 |                                      12.50 |
| Charm                      | charm:cake_danger_sight                         |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_fire_resistance                      |                                       0.00 |                                       0.00 |
