+----------------------------+-------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+----------------------------+-------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------------------------------------+
| Mod name                   | Registry name                                   | BlockID | Subtypes | Item ID | Item meta | Display name                                         | Exists | Ore Dict keys                                                           |
+----------------------------+-------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------------------------------------+
| Animania                   | animania:block_hamster_wheel                    |    2378 |    false |   10582 |         0 | Hamster Wheel                                        | true   |                                                                         |
| Animania                   | animania:block_hive                             |    2388 |    false |   10542 |         0 | Bee Hive                                             | true   |                                                                         |
| Animania                   | animania:block_mud                              |    2384 |    false |   10442 |         0 | Mud                                                  | true   | blockMud                                                                |
| Animania                   | animania:block_nest                             |    2391 |    false |   10447 |         0 | Nest                                                 | true   |                                                                         |
| Animania                   | animania:block_seeds                            |    2382 |    false |         |           | Seeds                                                | true   |                                                                         |
| Animania                   | animania:block_straw                            |    2371 |    false |   10476 |         0 | Straw                                                | true   |                                                                         |
| Animania                   | animania:block_trough                           |    2373 |    false |   10580 |         0 | Trough                                               | true   |                                                                         |
| Animania                   | animania:block_wild_hive                        |    2376 |    false |   10494 |         0 | Bee Nest                                             | true   |                                                                         |
| Animania                   | animania:cheese_friesian                        |    2374 |    false |   10546 |         0 | Cheese Wheel (Friesian)                              | true   |                                                                         |
| Animania                   | animania:cheese_goat                            |    2385 |    false |   10526 |         0 | Cheese Wheel (Goat)                                  | true   |                                                                         |
| Animania                   | animania:cheese_holstein                        |    2380 |    false |   10410 |         0 | Cheese Wheel (Holstein)                              | true   |                                                                         |
| Animania                   | animania:cheese_jersey                          |    2386 |    false |   10622 |         0 | Cheese Wheel (Jersey)                                | true   |                                                                         |
| Animania                   | animania:cheese_mold                            |    2381 |    false |   10481 |         0 | Cheese Mold                                          | true   |                                                                         |
| Animania                   | animania:cheese_sheep                           |    2370 |    false |   10488 |         0 | Cheese Wheel (Sheep)                                 | true   |                                                                         |
| Animania                   | animania:honey                                  |    2398 |    false |         |           | Honey Block                                          | true   |                                                                         |
| Animania                   | animania:invisiblock                            |    2379 |    false |         |           | Trough                                               | true   |                                                                         |
| Animania                   | animania:milk_friesian                          |    2394 |    false |         |           | tile.milk_friesian.name                              | true   |                                                                         |
| Animania                   | animania:milk_goat                              |    2390 |    false |         |           | tile.milk_goat.name                                  | true   |                                                                         |
| Animania                   | animania:milk_holstein                          |    2399 |    false |         |           | tile.milk_holstein.name                              | true   |                                                                         |
| Animania                   | animania:milk_jersey                            |    2368 |    false |         |           | tile.milk_jersey.name                                | true   |                                                                         |
| Animania                   | animania:milk_sheep                             |    2402 |    false |         |           | tile.milk_sheep.name                                 | true   |                                                                         |
| Animania                   | animania:salt_lick                              |    2392 |    false |   10362 |         0 | Salt Lick                                            | true   |                                                                         |
| Animania                   | animania:slop                                   |    2401 |    false |         |           | tile.slop.name                                       | true   |                                                                         |
| Animania                   | animania:wool                                   |    2404 |     true |   10539 |         0 | Wool (Dorset, Brown)                                 | true   | blockWool,wool                                                          |
| Animania                   | animania:wool                                   |    2404 |     true |   10539 |         1 | Wool (Friesian, Black)                               | true   | blockWool,wool                                                          |
| Animania                   | animania:wool                                   |    2404 |     true |   10539 |         2 | Wool (Friesian, Brown)                               | true   | blockWool,wool                                                          |
| Animania                   | animania:wool                                   |    2404 |     true |   10539 |         3 | Wool (Jacob)                                         | true   | blockWool,wool                                                          |
| Animania                   | animania:wool                                   |    2404 |     true |   10539 |         4 | Wool (Merino, Brown)                                 | true   | blockWool,wool                                                          |
| Animania                   | animania:wool                                   |    2404 |     true |   10539 |         5 | Wool (Merino, White)                                 | true   | blockWool,wool                                                          |
| Animania                   | animania:wool                                   |    2404 |     true |   10539 |         6 | Wool (Suffolk, Brown)                                | true   | blockWool,wool                                                          |
| Better Survival            | mujmajnkraftsbettersurvival:customcauldron      |    1980 |    false |         |           | tile.Cauldron.name                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:armorstand                          |     798 |     true |    5168 |         0 | Oak Armor Stand                                      | true   |                                                                         |
