+-------+----------------------------------------+-------------------------------------+----------------------------------------------------------------------------+
| Index | Name                                   | Translated Name                     | Icon Item                                                                  |
+-------+----------------------------------------+-------------------------------------+----------------------------------------------------------------------------+
|     0 | buildingBlocks                         | Building Blocks                     | [minecraft:brick_block@0 - 'Bricks']                                       |
|     1 | decorations                            | Decoration Blocks                   | [minecraft:double_plant@5 - 'Peony']                                       |
|     2 | redstone                               | Redstone                            | [minecraft:redstone@0 - 'Redstone']                                        |
|     3 | transportation                         | Transportation                      | [minecraft:golden_rail@0 - 'Powered Rail']                                 |
|     4 | hotbar                                 | Saved Toolbars                      | [minecraft:bookshelf@0 - 'Bookshelf']                                      |
|     5 | search                                 | Search Items                        | [minecraft:compass@0 - 'Compass']                                          |
|     6 | misc                                   | Miscellaneous                       | [minecraft:lava_bucket@0 - 'Lava Bucket']                                  |
|     7 | food                                   | Foodstuffs                          | [minecraft:apple@0 - 'Apple']                                              |
|     8 | tools                                  | Tools                               | [minecraft:iron_axe@0 - 'Iron Axe']                                        |
|     9 | combat                                 | Combat                              | [minecraft:golden_sword@0 - 'Golden Sword']                                |
|    10 | brewing                                | Brewing                             | [minecraft:potion@0 - 'Water Bottle']                                      |
|    11 | inventory                              | Survival Inventory                  | [minecraft:chest@0 - 'Chest']                                              |
|    12 | tabFish                                | Advanced Fishing                    | [advanced-fishing:fish@5 - 'Golden Koi']                                   |
|    13 | harvestcraft                           | itemGroup.harvestcraft              | [harvestcraft:toastsandwichitem@0 - 'Toast Sandwich']                      |
|    14 | Animania                               | Animania Entities                   | [animania:entity_egg_chicken_random@0 - 'Random Chicken']                  |
|    15 | Animania                               | Animania Resources                  | [animania:cooked_prime_steak@0 - 'Roast Prime Steak']                      |
|    16 | bountifulbaubles                       | Bountiful Baubles                   | [bountifulbaubles:trinketobsidianskull@0 - 'Obsidian Skull']               |
|    17 | chococraft                             | ChocoCraft 3                        | [chococraft:gysahl_green@0 - 'Gysahl Green']                               |
|    18 | cookingforblockheads                   | Cooking for Blockheads              | [cookingforblockheads:recipe_book@1 - 'Cooking for Blockheads I']          |
|    19 | cyclicmagic                            | Cyclic                              | [cyclicmagic:cyclic_wand_build@0 - 'Cyclic Building Scepter']              |
|    20 | firstaid                               | First Aid                           | [firstaid:bandage@0 - 'Bandage']                                           |
