+-------------------------------------------------+-------------------------------------------------------+--------------------+-----------+-----+
| Registry name                                   | Name                                                  | Type               | Rarity    |  ID |
+-------------------------------------------------+-------------------------------------------------------+--------------------+-----------+-----+
| aquaculture:appealing                           | enchantment.aquacultureAppealing                      | fishingPole        | RARE      | 270 |
| aquaculture:barbed_hook                         | enchantment.aquacultureBarbedHook                     | fishingPole        | VERY_RARE | 275 |
| aquaculture:double_hook                         | enchantment.aquacultureDoubleHook                     | fishingPole        | VERY_RARE | 274 |
| aquaculture:heavy_line                          | enchantment.aquacultureHeavyLine                      | fishingPole        | UNCOMMON  | 276 |
| aquaculture:long_cast                           | enchantment.aquacultureLongCast                       | fishingPole        | COMMON    | 272 |
| aquaculture:magnetic                            | enchantment.aquacultureMagnetic                       | fishingPole        | RARE      | 271 |
| aquaculture:short_cast                          | enchantment.aquacultureShortCast                      | fishingPole        | COMMON    | 273 |
| bibliocraft:bibliocraft.deathcompassench        | Eternal Compass                                       | ALL                | VERY_RARE |  75 |
| bibliocraft:bibliocraft.readingench             | Reading                                               | ARMOR_HEAD         | UNCOMMON  |  76 |
| charm:clumsiness_curse                          | charm.enchantment.clumsiness_curse                    | WEAPON             | VERY_RARE | 258 |
| charm:curse_break                               | charm.enchantment.curse_break                         | BREAKABLE          | RARE      | 256 |
| charm:harming_curse                             | charm.enchantment.harming_curse                       | ALL                | VERY_RARE | 260 |
| charm:haunting_curse                            | charm.enchantment.haunting_curse                      | WEAPON             | VERY_RARE | 259 |
| charm:homing                                    | charm.enchantment.homing                              | BREAKABLE          | RARE      | 261 |
| charm:magnetic                                  | charm.enchantment.magnetic                            | DIGGER             | RARE      | 262 |
| charm:rusting_curse                             | charm.enchantment.rusting_curse                       | ALL                | VERY_RARE | 257 |
| cyclicmagic:enchantment.autosmelt               | enchantment.autosmelt                                 | DIGGER             | RARE      | 263 |
| cyclicmagic:enchantment.beheading               | enchantment.beheading                                 | WEAPON             | VERY_RARE | 264 |
