+---------------------------+-----------------------------------------------+-------------------------------------+------+
| Mod name                  | Registry name                                 | Entity class name                   |   ID |
+---------------------------+-----------------------------------------------+-------------------------------------+------+
| Advanced Fishing          | advanced-fishing:custom_fish_hook             | EntityCustomFishHook                |    0 |
| Advanced Fishing          | advanced-fishing:fireproof_item               | EntityFireproofItem                 |    2 |
| Advanced Fishing          | advanced-fishing:lava_fish_hook               | EntityLavaFishHook                  |    1 |
| Advanced Hook Launchers   | adhooks:hookshot                              | HookShot                            |    1 |
| Animania                  | animania:buck_alpine                          | EntityBuckAlpine                    |   69 |
| Animania                  | animania:buck_angora                          | EntityBuckAngora                    |   72 |
| Animania                  | animania:buck_chinchilla                      | EntityRabbitBuckChinchilla          |  110 |
| Animania                  | animania:buck_cottontail                      | EntityRabbitBuckCottontail          |  107 |
| Animania                  | animania:buck_dutch                           | EntityRabbitBuckDutch               |  113 |
| Animania                  | animania:buck_fainting                        | EntityBuckFainting                  |   75 |
| Animania                  | animania:buck_havana                          | EntityRabbitBuckHavana              |  116 |
| Animania                  | animania:buck_jack                            | EntityRabbitBuckJack                |  119 |
| Animania                  | animania:buck_kiko                            | EntityBuckKiko                      |   78 |
| Animania                  | animania:buck_kinder                          | EntityBuckKinder                    |   81 |
| Animania                  | animania:buck_lop                             | EntityRabbitBuckLop                 |  128 |
| Animania                  | animania:buck_new_zealand                     | EntityRabbitBuckNewZealand          |  122 |
| Animania                  | animania:buck_nigerian_dwarf                  | EntityBuckNigerianDwarf             |   84 |
| Animania                  | animania:buck_pygmy                           | EntityBuckPygmy                     |   87 |
| Animania                  | animania:buck_rex                             | EntityRabbitBuckRex                 |  125 |
| Animania                  | animania:bull_angus                           | EntityBullAngus                     |   43 |
| Animania                  | animania:bull_friesian                        | EntityBullFriesian                  |   46 |
| Animania                  | animania:bull_hereford                        | EntityBullHereford                  |   49 |
| Animania                  | animania:bull_highland                        | EntityBullHighland                  |   58 |
| Animania                  | animania:bull_holstein                        | EntityBullHolstein                  |   52 |
| Animania                  | animania:bull_jersey                          | EntityBullJersey                    |   61 |
| Animania                  | animania:bull_longhorn                        | EntityBullLonghorn                  |   55 |
| Animania                  | animania:bull_mooshroom                       | EntityBullMooshroom                 |   64 |
| Animania                  | animania:calf_angus                           | EntityCalfAngus                     |   41 |
| Animania                  | animania:calf_friesian                        | EntityCalfFriesian                  |   44 |
| Animania                  | animania:calf_hereford                        | EntityCalfHereford                  |   47 |
| Animania                  | animania:calf_highland                        | EntityCalfHighland                  |   56 |
| Animania                  | animania:calf_holstein                        | EntityCalfHolstein                  |   50 |
| Animania                  | animania:calf_jersey                          | EntityCalfJersey                    |   59 |
| Animania                  | animania:calf_longhorn                        | EntityCalfLonghorn                  |   53 |
| Animania                  | animania:calf_mooshroom                       | EntityCalfMooshroom                 |   62 |
| Animania                  | animania:cart                                 | EntityCart                          |  153 |
| Animania                  | animania:chick_leghorn                        | EntityChickLeghorn                  |   26 |
| Animania                  | animania:chick_orpington                      | EntityChickOrpington                |   29 |
| Animania                  | animania:chick_plymouth_rock                  | EntityChickPlymouthRock             |   32 |
