+------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| Name             | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                              |
+------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| alubrass         |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass         |
| aluminum         |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum         |
| amber            |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:amber                  |
| animania_honey   |    3000 |         300 |      7000 |          0 | COMMON   |     false | animania:honey                     |
| ardite           |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite           |
| biomass          |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:biomass                |
| blood            |    1000 |         336 |      1000 |          0 | COMMON   |     false | tconstruct:blood                   |
| blueslime        |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime               |
| brass            |    2000 |         470 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_brass            |
| bronze           |    2000 |         475 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze           |
| clay             |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay             |
| cobalt           |    2000 |         950 |     10000 |         10 | RARE     |     false | tconstruct:molten_cobalt           |
| copper           |    2000 |         542 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_copper           |
| crystal          |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:crystal                |
| dirt             |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt             |
| dragonsteel_fire |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dragonsteel_fire |
| dragonsteel_ice  |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dragonsteel_ice  |
| electrum         |    2000 |         500 |     10000 |         10 | EPIC     |     false | tconstruct:molten_electrum         |
| emerald          |    2000 |         999 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_emerald          |
| fiery_essence    |    1000 |        1000 |      1000 |          0 | COMMON   |     false | twilightforest:fiery_essence       |
| fierymetal       |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_fierymetal   |
| flux_goo         |       8 |         300 |      6000 |          0 | COMMON   |     false | thaumcraft:flux_goo                |
| glass            |    2000 |         625 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_glass            |
| gold             |    2000 |         532 |     10000 |         10 | RARE     |     false | tconstruct:molten_gold             |
| gs_toxic_water   |    1000 |         300 |      1000 |          0 | COMMON   |     false | gravestone-extended:gs_toxic_water |
| iron             |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_iron             |
| knightmetal      |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_knightmetal  |
| knightslime      |    2000 |         520 |     10000 |         10 | EPIC     |     false | tconstruct:molten_knightslime      |
| lava             |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                     |
| lead             |    2000 |         400 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_lead             |
| liquid_death     |    1000 |         300 |      1500 |          0 | RARE     |     false | thaumcraft:liquid_death            |
| manyullyn        |    2000 |        1000 |     10000 |         10 | RARE     |     false | tconstruct:molten_manyullyn        |
| milk             |    1200 |         300 |      1200 |          0 | COMMON   |     false | cyclicmagic:milk                   |
| milk_friesian    |     500 |         300 |      1000 |          0 | COMMON   |     false | animania:milk_friesian             |
| milk_goat        |     500 |         300 |      1000 |          0 | COMMON   |     false | animania:milk_goat                 |
| milk_holstein    |     500 |         300 |      1000 |          0 | COMMON   |     false | animania:milk_holstein             |
| milk_jersey      |     500 |         300 |      1000 |          0 | COMMON   |     false | animania:milk_jersey               |
| milk_sheep       |     500 |         300 |      1000 |          0 | COMMON   |     false | animania:milk_sheep                |
| nickel           |    2000 |         727 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_nickel           |
| obsidian         |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_obsidian         |
| pigiron          |    2000 |         600 |     10000 |         10 | EPIC     |     false | tconstruct:molten_pigiron          |
| poison           |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:poison                 |
| purified_water   |    1000 |         300 |      1000 |          0 | COMMON   |     false | toughasnails:purified_water        |
| purifying_fluid  |    1000 |         300 |      1000 |          5 | RARE     |     false | thaumcraft:purifying_fluid         |
| purpleslime      |    1600 |         370 |      1600 |          0 | COMMON   |     false | tconstruct:purpleslime             |
| silver           |    2000 |         480 |     10000 |         10 | RARE     |     false | tconstruct:molten_silver           |
| slop             |    3000 |         300 |      7000 |          0 | COMMON   |     false | animania:slop                      |
| steel            |    2000 |         681 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_steel            |
| stone            |    2000 |         800 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_stone            |
| tin              |    2000 |         350 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_tin              |
| water            |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                    |
| xpjuice          |    1200 |         300 |      1200 |          0 | COMMON   |     false | cyclicmagic:xpjuice                |
| zinc             |    2000 |         375 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_zinc             |
+------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
| Name             | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                              |
+------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------+
