+-------------------------------+-------------------------------------------------------+---------+----------+----------+----------------------------------------------------+--------------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                             |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                                     |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                                   |
| *** ALSO ***                                                                                                                                                                                                                                                |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                                   |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                                    |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                                   |
+-------------------------------+-------------------------------------------------------+---------+----------+----------+----------------------------------------------------+--------------------------------------------------------------------------------+
| Mod name                      | Registry name                                         | Item ID | Meta/dmg | Subtypes | Display name                                       | Ore Dict keys                                                                  |
+-------------------------------+-------------------------------------------------------+---------+----------+----------+----------------------------------------------------+--------------------------------------------------------------------------------+
| Advanced Fishing              | advanced-fishing:blazing_fishing_pole                 |    4800 |        0 |    false | Blazing Fishing Pole                               |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        0 |     true | Jellyfish                                          |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        1 |     true | Magma Jellyfish                                    |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        2 |     true | Mud Tuna                                           |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        3 |     true | Frost Minnow                                       |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        4 |     true | Piranha                                            |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        5 |     true | Golden Koi                                         |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        6 |     true | Specular Snapper                                   |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        7 |     true | Cave Trout                                         |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        8 |     true | Obsidian Bream                                     |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |        9 |     true | Nether Sturgeon                                    |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       10 |     true | Quartz Chub                                        |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       11 |     true | Flarefin Koi                                       |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       12 |     true | Blaze Pike                                         |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       13 |     true | Ender Shad                                         |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       14 |     true | Pearl Sardine                                      |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       15 |     true | Chorus Koi                                         |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       16 |     true | Explosive Crucian                                  |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       17 |     true | Ruffe                                              |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       18 |     true | Sparkling Eel                                      |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       19 |     true | Angelfish                                          |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       20 |     true | Angler Fish                                        |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       21 |     true | Sponge Eater                                       |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       22 |     true | Snowy Walleye                                      |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       23 |     true | Squid                                              |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       24 |     true | Withered Crucian                                   |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       25 |     true | Sandy Bass                                         |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       26 |     true | Mandarinfish                                       |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       27 |     true | Red Shroomfin                                      |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       28 |     true | Brown Shroomfin                                    |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       29 |     true | Fungi Catfish                                      |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       30 |     true | Swamp Plaice                                       |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       31 |     true | Crystal Mullet                                     |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       32 |     true | Charged Bullhead                                   |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       33 |     true | Abyssal Lurker                                     |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       34 |     true | Sunfish                                            |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       35 |     true | Glacier Anchovy                                    |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       36 |     true | Catfish                                            |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       37 |     true | Pike                                               |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       38 |     true | Magikarp                                           |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       39 |     true | Green Jellyfish                                    |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       40 |     true | Bonefish                                           |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       41 |     true | Cursed Koi                                         |                                                                                |
| Advanced Fishing              | advanced-fishing:fish                                 |    4801 |       42 |     true | Spookyfin                                          |                                                                                |
| Advanced Hook Launchers       | adhooks:prototype_launcher                            |    4096 |        0 |    false | Launcher Prototype                                 | launcherPrototype                                                              |
| Advanced Hook Launchers       | adhooks:pudge_hook                                    |    4097 |        0 |    false | Pudge Hook                                         | hookPudge                                                                      |
| Advanced Hook Launchers       | adhooks:pudge_launcher                                |    4098 |        0 |    false | Pudge Hook Launcher                                | launcherPudge                                                                  |
| Advanced Hook Launchers       | adhooks:spear_hook                                    |    4099 |        0 |    false | Spear Hook                                         | hookSpear                                                                      |
| Advanced Hook Launchers       | adhooks:spear_launcher                                |    4100 |        0 |    false | Spear Hook Launcher                                | launcherSpear                                                                  |
| Advanced Hook Launchers       | adhooks:web_hook                                      |    4101 |        0 |    false | Web Hook                                           | hookWeb                                                                        |
| Advanced Hook Launchers       | adhooks:web_launcher                                  |    4102 |        0 |    false | Web Hook Launcher                                  | launcherWeb                                                                    |
| Akashic Tome                  | akashictome:tome                                      |    4804 |        0 |    false | Akashic Tome                                       |                                                                                |
| Animania                      | animania:animania_manual                              |   10601 |        0 |    false | Animania Manual                                    |                                                                                |
| Animania                      | animania:bacon_omelette                               |   10467 |        0 |    false | Bacon Omelette                                     |                                                                                |
| Animania                      | animania:bee_hive                                     |   10542 |        0 |    false | Bee Hive                                           |                                                                                |
| Animania                      | animania:block_hamster_wheel                          |   10582 |        0 |    false | Hamster Wheel                                      |                                                                                |
| Animania                      | animania:block_mud                                    |   10442 |        0 |    false | Mud                                                | blockMud                                                                       |
| Animania                      | animania:block_nest                                   |   10447 |        0 |    false | Nest                                               |                                                                                |
| Animania                      | animania:block_straw                                  |   10476 |        0 |    false | Straw                                              |                                                                                |
| Animania                      | animania:block_trough                                 |   10580 |        0 |    false | Trough                                             |                                                                                |
| Animania                      | animania:blue_peacock_feather                         |   10348 |        0 |    false | Blue Peacock Feather                               | feather                                                                        |
| Animania                      | animania:brown_egg                                    |   10490 |        0 |    false | Egg                                                | egg,listAllegg                                                                 |
| Animania                      | animania:carving_knife                                |   10455 |        0 |    false | Carving Knife                                      |                                                                                |
| Animania                      | animania:charcoal_peacock_feather                     |   10639 |        0 |    false | Charcoal Peacock Feather                           | feather                                                                        |
| Animania                      | animania:cheese_mold                                  |   10481 |        0 |    false | Cheese Mold                                        |                                                                                |
| Animania                      | animania:cheese_omelette                              |   10478 |        0 |    false | Cheese Omelette                                    |                                                                                |
| Animania                      | animania:chocolate_truffle                            |   10592 |        0 |    false | Chocolate Truffle                                  |                                                                                |
| Animania                      | animania:cooked_chevon                                |   10469 |        0 |    false | Roast Chevon                                       | foodMeats,listAllmeatcooked                                                    |
| Animania                      | animania:cooked_frog_legs                             |   10497 |        0 |    false | Cooked Frog Legs                                   | foodMeats,listAllmeatcooked                                                    |
| Animania                      | animania:cooked_horse                                 |   10558 |        0 |    false | Cooked Horse                                       | foodMeats,listAllmeatcooked                                                    |
| Animania                      | animania:cooked_peacock                               |   10510 |        0 |    false | Roast Peacock                                      |                                                                                |
| Animania                      | animania:cooked_prime_bacon                           |   10566 |        0 |    false | Roast Prime Bacon                                  | foodBaconCooked,foodMeats,listAllporkcooked                                    |
| Animania                      | animania:cooked_prime_beef                            |   10389 |        0 |    false | Roast Prime Beef                                   | foodMeats,listAllbeefcooked,listAllmeatcooked                                  |
| Animania                      | animania:cooked_prime_chevon                          |   10390 |        0 |    false | Roast Prime Chevon                                 | foodMeats,listAllmeatcooked                                                    |
| Animania                      | animania:cooked_prime_chicken                         |   10458 |        0 |    false | Roast Prime Chicken                                | foodMeats,listAllchickencooked,listAllmeatcooked                               |
| Animania                      | animania:cooked_prime_mutton                          |   10393 |        0 |    false | Roast Prime Mutton                                 | foodMeats,listAllmeatcooked                                                    |
| Animania                      | animania:cooked_prime_peacock                         |   10560 |        0 |    false | Roast Prime Peacock                                |                                                                                |
| Animania                      | animania:cooked_prime_pork                            |   10440 |        0 |    false | Roast Prime Pork                                   | foodMeats,listAllmeatcooked,listAllporkcooked                                  |
| Animania                      | animania:cooked_prime_rabbit                          |   10537 |        0 |    false | Roast Prime Rabbit                                 | foodMeats,listAllmeatcooked                                                    |
| Animania                      | animania:cooked_prime_steak                           |   10519 |        0 |    false | Roast Prime Steak                                  | foodMeats,listAllbeefcooked                                                    |
| Animania                      | animania:entity_egg_buck_alpine                       |   10399 |        0 |    false | Alpine Buck                                        |                                                                                |
| Animania                      | animania:entity_egg_buck_angora                       |   10522 |        0 |    false | Angora Buck                                        |                                                                                |
| Animania                      | animania:entity_egg_buck_chinchilla                   |   10625 |        0 |    false | Chinchilla Buck                                    |                                                                                |
| Animania                      | animania:entity_egg_buck_cottontail                   |   10380 |        0 |    false | Cottontail Buck                                    |                                                                                |
| Animania                      | animania:entity_egg_buck_dutch                        |   10493 |        0 |    false | Dutch Buck                                         |                                                                                |
| Animania                      | animania:entity_egg_buck_fainting                     |   10587 |        0 |    false | Fainting Buck                                      |                                                                                |
| Animania                      | animania:entity_egg_buck_havana                       |   10514 |        0 |    false | Havana Buck                                        |                                                                                |
| Animania                      | animania:entity_egg_buck_jack                         |   10433 |        0 |    false | Jack Buck                                          |                                                                                |
| Animania                      | animania:entity_egg_buck_kiko                         |   10368 |        0 |    false | Kiko Buck                                          |                                                                                |
| Animania                      | animania:entity_egg_buck_kinder                       |   10444 |        0 |    false | Kinder Buck                                        |                                                                                |
| Animania                      | animania:entity_egg_buck_lop                          |   10605 |        0 |    false | Lop Buck                                           |                                                                                |
| Animania                      | animania:entity_egg_buck_new_zealand                  |   10423 |        0 |    false | New Zealand Buck                                   |                                                                                |
| Animania                      | animania:entity_egg_buck_nigerian_dwarf               |   10644 |        0 |    false | Nigerian Dwarf Buck                                |                                                                                |
| Animania                      | animania:entity_egg_buck_pygmy                        |   10392 |        0 |    false | Pygmy Buck                                         |                                                                                |
| Animania                      | animania:entity_egg_buck_rex                          |   10479 |        0 |    false | Rex Buck                                           |                                                                                |
| Animania                      | animania:entity_egg_bull_angus                        |   10637 |        0 |    false | Angus Bull                                         |                                                                                |
| Animania                      | animania:entity_egg_bull_friesian                     |   10374 |        0 |    false | Friesian Bull                                      |                                                                                |
| Animania                      | animania:entity_egg_bull_hereford                     |   10559 |        0 |    false | Hereford Bull                                      |                                                                                |
| Animania                      | animania:entity_egg_bull_highland                     |   10396 |        0 |    false | Highland Bull                                      |                                                                                |
| Animania                      | animania:entity_egg_bull_holstein                     |   10417 |        0 |    false | Holstein Bull                                      |                                                                                |
| Animania                      | animania:entity_egg_bull_jersey                       |   10623 |        0 |    false | Jersey Bull                                        |                                                                                |
| Animania                      | animania:entity_egg_bull_longhorn                     |   10563 |        0 |    false | Longhorn Bull                                      |                                                                                |
| Animania                      | animania:entity_egg_bull_mooshroom                    |   10594 |        0 |    false | Mooshroom Bull                                     |                                                                                |
| Animania                      | animania:entity_egg_calf_angus                        |   10489 |        0 |    false | Angus Calf                                         |                                                                                |
| Animania                      | animania:entity_egg_calf_friesian                     |   10428 |        0 |    false | Friesian Calf                                      |                                                                                |
| Animania                      | animania:entity_egg_calf_hereford                     |   10527 |        0 |    false | Hereford Calf                                      |                                                                                |
| Animania                      | animania:entity_egg_calf_highland                     |   10386 |        0 |    false | Highland Calf                                      |                                                                                |
| Animania                      | animania:entity_egg_calf_holstein                     |   10391 |        0 |    false | Holstein Calf                                      |                                                                                |
| Animania                      | animania:entity_egg_calf_jersey                       |   10436 |        0 |    false | Jersey Calf                                        |                                                                                |
| Animania                      | animania:entity_egg_calf_longhorn                     |   10590 |        0 |    false | Longhorn Calf                                      |                                                                                |
| Animania                      | animania:entity_egg_calf_mooshroom                    |   10513 |        0 |    false | Mooshroom Calf                                     |                                                                                |
| Animania                      | animania:entity_egg_chick_leghorn                     |   10600 |        0 |    false | Leghorn Chick                                      |                                                                                |
| Animania                      | animania:entity_egg_chick_orpington                   |   10446 |        0 |    false | Orpington Chick                                    |                                                                                |
