+-------------------------------------------------+----------+---------------------------------------------+--------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                                   | Meta/dmg | Display name                                | Ore Dict Keys                                                                  | NBT                                                                                                                                         |
+-------------------------------------------------+----------+---------------------------------------------+--------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| adhooks:prototype_launcher                      |        0 | Launcher Prototype                          | launcherPrototype                                                              |                                                                                                                                             |
| adhooks:pudge_hook                              |        0 | Pudge Hook                                  | hookPudge                                                                      |                                                                                                                                             |
| adhooks:pudge_launcher                          |        0 | Pudge Hook Launcher                         | launcherPudge                                                                  |                                                                                                                                             |
| adhooks:spear_hook                              |        0 | Spear Hook                                  | hookSpear                                                                      |                                                                                                                                             |
| adhooks:spear_launcher                          |        0 | Spear Hook Launcher                         | launcherSpear                                                                  |                                                                                                                                             |
| adhooks:web_hook                                |        0 | Web Hook                                    | hookWeb                                                                        |                                                                                                                                             |
| adhooks:web_launcher                            |        0 | Web Hook Launcher                           | launcherWeb                                                                    |                                                                                                                                             |
| animania:block_mud                              |        0 | Mud                                         | blockMud                                                                       |                                                                                                                                             |
| animania:blue_peacock_feather                   |        0 | Blue Peacock Feather                        | feather                                                                        |                                                                                                                                             |
| animania:brown_egg                              |        0 | Egg                                         | egg,listAllegg                                                                 |                                                                                                                                             |
| animania:charcoal_peacock_feather               |        0 | Charcoal Peacock Feather                    | feather                                                                        |                                                                                                                                             |
| animania:cooked_chevon                          |        0 | Roast Chevon                                | foodMeats,listAllmeatcooked                                                    |                                                                                                                                             |
| animania:cooked_frog_legs                       |        0 | Cooked Frog Legs                            | foodMeats,listAllmeatcooked                                                    |                                                                                                                                             |
| animania:cooked_horse                           |        0 | Cooked Horse                                | foodMeats,listAllmeatcooked                                                    |                                                                                                                                             |
| animania:cooked_prime_bacon                     |        0 | Roast Prime Bacon                           | foodBaconCooked,foodMeats,listAllporkcooked                                    |                                                                                                                                             |
| animania:cooked_prime_beef                      |        0 | Roast Prime Beef                            | foodMeats,listAllbeefcooked,listAllmeatcooked                                  |                                                                                                                                             |
| animania:cooked_prime_chevon                    |        0 | Roast Prime Chevon                          | foodMeats,listAllmeatcooked                                                    |                                                                                                                                             |
| animania:cooked_prime_chicken                   |        0 | Roast Prime Chicken                         | foodMeats,listAllchickencooked,listAllmeatcooked                               |                                                                                                                                             |
| animania:cooked_prime_mutton                    |        0 | Roast Prime Mutton                          | foodMeats,listAllmeatcooked                                                    |                                                                                                                                             |
| animania:cooked_prime_pork                      |        0 | Roast Prime Pork                            | foodMeats,listAllmeatcooked,listAllporkcooked                                  |                                                                                                                                             |
| animania:cooked_prime_rabbit                    |        0 | Roast Prime Rabbit                          | foodMeats,listAllmeatcooked                                                    |                                                                                                                                             |
| animania:cooked_prime_steak                     |        0 | Roast Prime Steak                           | foodMeats,listAllbeefcooked                                                    |                                                                                                                                             |
| animania:friesian_cheese_wedge                  |        0 | Cheese Wedge (Friesian)                     | foodCheese                                                                     |                                                                                                                                             |
| animania:goat_cheese_wedge                      |        0 | Cheese Wedge (Goat)                         | foodCheese                                                                     |                                                                                                                                             |
| animania:holstein_cheese_wedge                  |        0 | Cheese Wedge (Holstein)                     | foodCheese                                                                     |                                                                                                                                             |
| animania:honey_bottle                           |        0 | Bottle of Honey                             | dropHoney,foodHoney,foodHoneydrop                                              |                                                                                                                                             |
| animania:jersey_cheese_wedge                    |        0 | Cheese Wedge (Jersey)                       | foodCheese                                                                     |                                                                                                                                             |
| animania:opal_peacock_feather                   |        0 | Opal Peacock Feather                        | feather                                                                        |                                                                                                                                             |
| animania:peach_peacock_feather                  |        0 | Peach Peacock Feather                       | feather                                                                        |                                                                                                                                             |
| animania:peacock_egg_blue                       |        0 | Peafowl Egg                                 | egg,listAllegg                                                                 |                                                                                                                                             |
| animania:peacock_egg_white                      |        0 | Peafowl Egg                                 | egg,listAllegg                                                                 |                                                                                                                                             |
| animania:purple_peacock_feather                 |        0 | Purple Peacock Feather                      | feather                                                                        |                                                                                                                                             |
| animania:raw_chevon                             |        0 | Raw Chevon                                  | foodMeats,listAllmeatraw                                                       |                                                                                                                                             |
| animania:raw_frog_legs                          |        0 | Raw Frog Legs                               | listAllmeatraw                                                                 |                                                                                                                                             |
| animania:raw_horse                              |        0 | Raw Horse                                   | foodMeats,listAllmeatraw                                                       |                                                                                                                                             |
| animania:raw_prime_bacon                        |        0 | Raw Prime Bacon                             | foodMeats,listAllporkraw                                                       |                                                                                                                                             |
| animania:raw_prime_beef                         |        0 | Raw Prime Beef                              | foodMeats,listAllbeefraw,listAllmeatraw                                        |                                                                                                                                             |
| animania:raw_prime_chevon                       |        0 | Raw Prime Chevon                            | foodMeats,listAllmeatraw                                                       |                                                                                                                                             |
| animania:raw_prime_chicken                      |        0 | Raw Prime Chicken                           | foodMeats,listAllchickenraw,listAllmeatraw                                     |                                                                                                                                             |
| animania:raw_prime_mutton                       |        0 | Raw Prime Mutton                            | foodMeats,listAllmeatraw                                                       |                                                                                                                                             |
