+------------------------------------+-------------------------------------------------+----------+---------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| OreDict Key                        | Registry name                                   | Meta/dmg | Display name                                | NBT                                                                                                                                         |
+------------------------------------+-------------------------------------------------+----------+---------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| armor                              | minecraft:chainmail_boots                       |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:chainmail_chestplate                  |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:chainmail_helmet                      |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:chainmail_leggings                    |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:diamond_boots                         |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:diamond_chestplate                    |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:diamond_helmet                        |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:diamond_leggings                      |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:golden_boots                          |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:golden_chestplate                     |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:golden_helmet                         |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:golden_leggings                       |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:iron_boots                            |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:iron_chestplate                       |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:iron_helmet                           |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:iron_leggings                         |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:leather_boots                         |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:leather_chestplate                    |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:leather_helmet                        |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| armor                              | minecraft:leather_leggings                      |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| bakingEgg                          | iceandfire:hippogryph_egg                       |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| bakingEgg                          | iceandfire:iceandfire.deathworm_egg             |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| bakingEgg                          | iceandfire:myrmex_desert_egg                    |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| bakingEgg                          | iceandfire:myrmex_jungle_egg                    |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| barrel                             | charm:barrel                                    |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| blockAdhesive                      | minecraft:slime                                 |        0 | Slime Block                                 |                                                                                                                                             |
