+---------------------------+--------------------------------------------+------------------------------------------+-----+-------------------------+--------+---------------+
| Mod name                  | Registry name                              | Potion Name                              |  ID | Liquid color            | Is bad | Is beneficial |
+---------------------------+--------------------------------------------+------------------------------------------+-----+-------------------------+--------+---------------+
| Better Survival           | mujmajnkraftsbettersurvival:antiwarp       | effect.antiwarp                          | 145 | 0x00DB64E8 (  14378216) |  false |         false |
| Better Survival           | mujmajnkraftsbettersurvival:cure           | effect.cure                              | 147 | 0x00FFF70D (  16774925) |  false |         false |
| Better Survival           | mujmajnkraftsbettersurvival:dispel         | effect.dispel                            | 148 | 0x00B5E9FF (  11921919) |   true |         false |
| Better Survival           | mujmajnkraftsbettersurvival:milk           | effect.milk                              | 146 | 0x00FFFFFF (  16777215) |   true |         false |
| Better Survival           | mujmajnkraftsbettersurvival:stun           | effect.stun                              | 143 | 0x00FFF70D (  16774925) |  false |         false |
| Better Survival           | mujmajnkraftsbettersurvival:warp           | effect.warp                              | 144 | 0x00961FFF (   9838591) |  false |         false |
| Bountiful Baubles         | bountifulbaubles:sinful                    | bountifulbaubles.effect.sinful           | 149 | 0x00101317 (   1053463) |  false |         false |
| Charm                     | charm:coffee                               | charm.potion.coffee.name                 | 150 | 0x00160202 (   1442306) |  false |         false |
| Charm                     | charm:decay                                | charm.potion.decay.name                  | 151 | 0x00260120 (   2490656) |   true |         false |
| Charm                     | charm:ender_sight                          | charm.potion.ender_sight.name            | 152 | 0x0075A117 (   7708951) |  false |         false |
| Cyclic                    | cyclicmagic:potion.bounce                  | potion.bounce                            | 159 | 0x0091E459 (   9561177) |  false |         false |
| Cyclic                    | cyclicmagic:potion.butter                  | potion.butter                            | 161 | 0x00E5E500 (  15066368) |  false |         false |
| Cyclic                    | cyclicmagic:potion.ender                   | potion.ender                             | 154 | 0x000B4D42 (    740674) |  false |         false |
| Cyclic                    | cyclicmagic:potion.frostwalker             | potion.frostwalker                       | 160 | 0x0042F4D7 (   4388055) |  false |         false |
| Cyclic                    | cyclicmagic:potion.magnet                  | potion.magnet                            | 153 | 0x00224BAF (   2247599) |  false |         false |
| Cyclic                    | cyclicmagic:potion.slowfall                | potion.slowfall                          | 156 | 0x00F46F20 (  16019232) |  false |         false |
| Cyclic                    | cyclicmagic:potion.snow                    | potion.snow                              | 157 | 0x008EBFFF (   9355263) |  false |         false |
| Cyclic                    | cyclicmagic:potion.stunned                 | potion.stunned                           | 162 | 0x00C2C4F7 (  12764407) |  false |         false |
| Cyclic                    | cyclicmagic:potion.swimspeed               | potion.swimspeed                         | 158 | 0x00B477FF (  11827199) |  false |         false |
| Cyclic                    | cyclicmagic:potion.waterwalk               | potion.waterwalk                         | 155 | 0x007FB8A4 (   8370340) |  false |         false |
| Defiled Lands             | defiledlands:bleeding                      | potion.effect.defiledlands.bleeding      |  65 | 0x00FF0000 (  16711680) |   true |         false |
| Defiled Lands             | defiledlands:grounded                      | potion.effect.defiledlands.grounded      |  64 | 0x005F5E57 (   6250071) |   true |         false |
| Defiled Lands             | defiledlands:vulnerability                 | potion.effect.defiledlands.vulnerability |  63 | 0x006F7689 (   7304841) |   true |         false |
| DungeonTactics            | dungeontactics:cryo_effect                 | effect.dungeontactics:cryo_effect        |  33 | 0x00000001 (         1) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:arcane_jammer                   | potion.ebwizardry:arcane_jammer          |  73 | 0x00CF4AA2 (  13585058) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:containment                     | potion.ebwizardry:containment            |  86 | 0x007988CC (   7964876) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:curse_of_enfeeblement           | potion.ebwizardry:curse_of_enfeeblement  |  84 | 0x0036000B (   3538955) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:curse_of_soulbinding            | potion.ebwizardry:curse_of_soulbinding   |  78 | 0x000F000F (    983055) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:curse_of_undeath                | potion.ebwizardry:curse_of_undeath       |  85 | 0x00685C00 (   6839296) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:decay                           | potion.ebwizardry:decay                  |  71 | 0x003C006C (   3932268) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:empowerment                     | potion.ebwizardry:empowerment            |  83 | 0x008367BD (   8611773) |  false |          true |
| Electroblob's Wizardry    | ebwizardry:fear                            | potion.ebwizardry:fear                   |  77 | 0x00BD0100 (  12386560) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:fireskin                        | potion.ebwizardry:fireskin               |  68 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry    | ebwizardry:font_of_mana                    | potion.ebwizardry:font_of_mana           |  76 | 0x00FFE5BB (  16770491) |  false |          true |
| Electroblob's Wizardry    | ebwizardry:frost                           | potion.ebwizardry:frost                  |  66 | 0x00000000 (         0) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:frost_step                      | potion.ebwizardry:frost_step             |  87 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry    | ebwizardry:ice_shroud                      | potion.ebwizardry:ice_shroud             |  69 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry    | ebwizardry:mind_control                    | potion.ebwizardry:mind_control           |  75 | 0x00320B44 (   3279684) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:mind_trick                      | potion.ebwizardry:mind_trick             |  74 | 0x00601683 (   6297219) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:muffle                          | potion.ebwizardry:muffle                 |  80 | 0x004464D9 (   4482265) |  false |          true |
| Electroblob's Wizardry    | ebwizardry:paralysis                       | potion.ebwizardry:paralysis              |  79 | 0x00000000 (         0) |   true |         false |
| Electroblob's Wizardry    | ebwizardry:sixth_sense                     | potion.ebwizardry:sixth_sense            |  72 | 0x00C6FF01 (  13041409) |  false |          true |
| Electroblob's Wizardry    | ebwizardry:slow_time                       | potion.ebwizardry:slow_time              |  82 | 0x005BE3BB (   6022075) |  false |          true |
| Electroblob's Wizardry    | ebwizardry:static_aura                     | potion.ebwizardry:static_aura            |  70 | 0x00000000 (         0) |  false |          true |
