+--------------------------------------------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                              |  ID | Effects                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
+--------------------------------------------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| charm:coffee                               | 214 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:200,isSplashPotion:false,isAmbient:false}, PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:200,isSplashPotion:false,isAmbient:false}, PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:0,duration:200,isSplashPotion:false,isAmbient:false} |
| charm:decay                                | 215 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:2,duration:100,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| charm:ender_sight                          | 216 | PotionEffect:{Potion:[reg:charm:ender_sight,name:charm.potion.ender_sight.name,isBad:false,isBeneficial:false],amplifier:0,duration:200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                   |
| cyclicmagic:blindness                      | 236 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                              |
| cyclicmagic:bounce                         | 225 | PotionEffect:{Potion:[reg:cyclicmagic:potion.bounce,name:potion.bounce,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                          |
| cyclicmagic:butter                         | 219 | PotionEffect:{Potion:[reg:cyclicmagic:potion.butter,name:potion.butter,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                          |
| cyclicmagic:butter2                        | 220 | PotionEffect:{Potion:[reg:cyclicmagic:potion.butter,name:potion.butter,isBad:false,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                          |
| cyclicmagic:ender                          | 217 | PotionEffect:{Potion:[reg:cyclicmagic:potion.ender,name:potion.ender,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| cyclicmagic:frostwalker                    | 226 | PotionEffect:{Potion:[reg:cyclicmagic:potion.frostwalker,name:potion.frostwalker,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                |
| cyclicmagic:haste                          | 229 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| cyclicmagic:haste2                         | 230 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| cyclicmagic:healthboost                    | 233 | PotionEffect:{Potion:[reg:minecraft:health_boost,name:effect.healthBoost,isBad:false,isBeneficial:true],amplifier:4,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| cyclicmagic:levitation                     | 228 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| cyclicmagic:luck                           | 234 | PotionEffect:{Potion:[reg:minecraft:luck,name:effect.luck,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| cyclicmagic:magnet                         | 227 | PotionEffect:{Potion:[reg:cyclicmagic:potion.magnet,name:potion.magnet,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                          |
