+--------------------------------------------------------+------+
| Registry name                                          |   ID |
+--------------------------------------------------------+------+
| animania:angrybull1                                    | 1441 |
| animania:angrybull2                                    | 1436 |
| animania:angrybull3                                    | 1435 |
| animania:bullmoo1                                      | 1327 |
| animania:bullmoo2                                      | 1329 |
| animania:bullmoo3                                      | 1328 |
| animania:bullmoo4                                      | 1323 |
| animania:bullmoo5                                      | 1321 |
| animania:bullmoo6                                      | 1325 |
| animania:bullmoo7                                      | 1324 |
| animania:bullmoo8                                      | 1330 |
| animania:cluck1                                        | 1418 |
| animania:cluck2                                        | 1419 |
| animania:cluck3                                        | 1420 |
| animania:cluck4                                        | 1421 |
| animania:cluck5                                        | 1422 |
| animania:cluck6                                        | 1423 |
| animania:combo                                         | 1471 |
| animania:cowdeath1                                     | 1428 |
| animania:cowdeath2                                     | 1427 |
| animania:coweat1                                       | 1461 |
| animania:coweat2                                       | 1460 |
| animania:cowhurt1                                      | 1333 |
| animania:cowhurt2                                      | 1340 |
| animania:crow1                                         | 1468 |
| animania:crow2                                         | 1469 |
| animania:crow3                                         | 1470 |
| animania:dartfrogliving1                               | 1426 |
| animania:dartfrogliving2                               | 1414 |
| animania:dartfrogliving3                               | 1412 |
| animania:dartfrogliving4                               | 1417 |
| animania:death1                                        | 1408 |
| animania:death2                                        | 1401 |
| animania:ferrethurt1                                   | 1416 |
| animania:ferretliving1                                 | 1398 |
| animania:ferretliving2                                 | 1397 |
| animania:ferretliving3                                 | 1404 |
| animania:ferretliving4                                 | 1400 |
| animania:ferretliving5                                 | 1407 |
| animania:ferretliving6                                 | 1406 |
| animania:frogliving1                                   | 1334 |
| animania:frogliving2                                   | 1332 |
| animania:frogliving3                                   | 1331 |
| animania:goathurt1                                     | 1326 |
| animania:goathurt2                                     | 1322 |
| animania:goatliving1                                   | 1360 |
| animania:goatliving2                                   | 1347 |
| animania:goatliving3                                   | 1348 |
| animania:goatliving4                                   | 1349 |
| animania:goatliving5                                   | 1350 |
| animania:hamsterdeath                                  | 1464 |
| animania:hamstereat1                                   | 1437 |
| animania:hamstereat2                                   | 1440 |
| animania:hamsterhurt1                                  | 1462 |
| animania:hamsterliving1                                | 1399 |
| animania:hamsterliving2                                | 1403 |
| animania:hamsterliving3                                | 1396 |
| animania:hedgehoghurt1                                 | 1457 |
| animania:hedgehogliving1                               | 1361 |
| animania:hedgehogliving2                               | 1372 |
| animania:hedgehogliving3                               | 1371 |
| animania:hedgehogliving4                               | 1370 |
| animania:hedgehogliving5                               | 1369 |
| animania:hitch                                         | 1467 |
| animania:hog1                                          | 1445 |
| animania:hog2                                          | 1452 |
| animania:hog3                                          | 1450 |
| animania:hog4                                          | 1456 |
| animania:hog5                                          | 1455 |
| animania:horsehurt1                                    | 1376 |
| animania:horsehurt2                                    | 1391 |
| animania:horsehurt3                                    | 1392 |
| animania:horseliving1                                  | 1335 |
| animania:horseliving2                                  | 1337 |
| animania:horseliving3                                  | 1341 |
| animania:horseliving4                                  | 1344 |
| animania:horseliving5                                  | 1345 |
| animania:horseliving6                                  | 1346 |
| animania:hurt1                                         | 1438 |
| animania:hurt2                                         | 1439 |
| animania:hurtcalf1                                     | 1355 |
| animania:hurtcalf2                                     | 1356 |
| animania:kidhurt1                                      | 1466 |
| animania:kidhurt2                                      | 1465 |
| animania:kidliving1                                    | 1343 |
| animania:kidliving2                                    | 1339 |
| animania:kidliving3                                    | 1336 |
| animania:lambliving1                                   | 1413 |
| animania:lambliving2                                   | 1415 |
| animania:moo1                                          | 1366 |
| animania:moo2                                          | 1364 |
| animania:moo3                                          | 1354 |
| animania:moo4                                          | 1353 |
| animania:moo5                                          | 1352 |
| animania:moo6                                          | 1351 |
| animania:moo7                                          | 1359 |
| animania:moo8                                          | 1357 |
| animania:moocalf1                                      | 1409 |
| animania:moocalf2                                      | 1410 |
| animania:moocalf3                                      | 1411 |
| animania:ooooohh                                       | 1358 |
| animania:peacock1                                      | 1389 |
| animania:peacock10                                     | 1459 |
| animania:peacock2                                      | 1384 |
| animania:peacock3                                      | 1386 |
| animania:peacock4                                      | 1381 |
| animania:peacock5                                      | 1382 |
| animania:peacock6                                      | 1433 |
| animania:peacock7                                      | 1434 |
| animania:peacock8                                      | 1431 |
| animania:peacock9                                      | 1432 |
| animania:peacockhurt1                                  | 1388 |
| animania:peacockhurt2                                  | 1390 |
| animania:pig1                                          | 1383 |
| animania:pig2                                          | 1385 |
| animania:pig3                                          | 1387 |
| animania:pig4                                          | 1377 |
| animania:pig5                                          | 1378 |
| animania:pig6                                          | 1379 |
| animania:pig7                                          | 1380 |
| animania:pighurt1                                      | 1342 |
| animania:pighurt2                                      | 1338 |
| animania:piglet1                                       | 1374 |
| animania:piglet2                                       | 1373 |
| animania:piglet3                                       | 1395 |
| animania:piglethurt1                                   | 1405 |
| animania:piglethurt2                                   | 1425 |
| animania:piglethurt3                                   | 1424 |
| animania:rabbit1                                       | 1454 |
| animania:rabbit2                                       | 1451 |
| animania:rabbit3                                       | 1449 |
| animania:rabbit4                                       | 1447 |
| animania:rabbithurt1                                   | 1393 |
| animania:rabbithurt2                                   | 1394 |
| animania:reeee                                         | 1444 |
| animania:sheephurt1                                    | 1429 |
| animania:sheepliving1                                  | 1458 |
| animania:sheepliving2                                  | 1443 |
| animania:sheepliving3                                  | 1442 |
| animania:sheepliving4                                  | 1448 |
| animania:sheepliving5                                  | 1446 |
| animania:sheepliving6                                  | 1453 |
| animania:toadliving1                                   | 1368 |
| animania:toadliving2                                   | 1367 |
| animania:toadliving3                                   | 1365 |
| animania:toadliving4                                   | 1363 |
| animania:unhitch                                       | 1463 |
| animania:zap                                           | 1472 |
| battletowers:golem                                     |  598 |
| battletowers:golemawaken                               |  595 |
| battletowers:golemcharge                               |  597 |
| battletowers:golemdeath                                |  600 |
| battletowers:golemhurt                                 |  599 |
| battletowers:golemspecial                              |  596 |
| battletowers:towerbreakstart                           |  593 |
| battletowers:towercrumble                              |  594 |
| bettercombatmod:player.criticalstrike                  |  602 |
| bettercombatmod:player.swordslash                      |  601 |
| charm:above_stronghold                                 | 1263 |
| charm:bookshelf_close                                  | 1255 |
| charm:bookshelf_open                                   | 1254 |
| charm:ender_resonance                                  | 1264 |
| charm:homing                                           | 1261 |
| charm:little_fire                                      | 1256 |
| charm:spectre_ambient                                  | 1257 |
| charm:spectre_disappear                                | 1258 |
| charm:spectre_hit                                      | 1259 |
| charm:spectre_move                                     | 1260 |
| charm:whispers                                         | 1262 |
| charm:wood_close                                       | 1252 |
| charm:wood_open                                        | 1251 |
| charm:wood_smash                                       | 1253 |
| chisel:dirt_chisel                                     |  556 |
| chisel:fallback                                        |  554 |
| chisel:metal_break                                     |  549 |
| chisel:metal_fall                                      |  550 |
| chisel:metal_hit                                       |  551 |
| chisel:metal_place                                     |  552 |
| chisel:metal_step                                      |  553 |
| chisel:wood_chisel                                     |  555 |
| chococraft:entity.chocobo.kweh                         | 1375 |
| chococraft:entity.chocobo.kwehwhistlefollow            | 1402 |
| chococraft:entity.chocobo.kwehwhistlestay              | 1362 |
| chococraft:entity.chocobo.kwehwhistlewander            | 1430 |
| cookingforblockheads:fridge_close                      |  737 |
| cookingforblockheads:fridge_open                       |  736 |
| cookingforblockheads:oven_close                        |  739 |
| cookingforblockheads:oven_open                         |  738 |
| cookingforblockheads:toaster_start                     |  740 |
| cookingforblockheads:toaster_stop                      |  741 |
| cyclicmagic:basey                                      | 1265 |
| cyclicmagic:block_scaffolding                          | 1273 |
| cyclicmagic:bwewe                                      | 1267 |
| cyclicmagic:bwoaaap                                    | 1269 |
| cyclicmagic:chaos_reaper                               | 1274 |
| cyclicmagic:crack                                      | 1270 |
| cyclicmagic:dcoin                                      | 1289 |
| cyclicmagic:dice_mike_koenig                           | 1294 |
