+--------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
| Class                                                                                | Registry name                                              | Ticking? |
+--------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
| c4.comforts.common.tileentities.TileEntityHammock                                    | comforts:tile_entity_hammock                               |        - |
| com.alcatrazescapee.notreepunching.common.tile.TileFirePit                           | notreepunching:fire_pit                                    |      yes |
| com.alcatrazescapee.notreepunching.common.tile.TileLargeVessel                       | notreepunching:ceramic_large_vessel                        |        - |
| com.animania.common.tileentities.TileEntityCheeseMold                                | minecraft:tileentitycheesemold                             |      yes |
| com.animania.common.tileentities.TileEntityHamsterWheel                              | minecraft:tileentityhamsterwheel                           |      yes |
| com.animania.common.tileentities.TileEntityHive                                      | minecraft:tileentityhive                                   |      yes |
| com.animania.common.tileentities.TileEntityInvisiblock                               | minecraft:tileentityinvisiblock                            |      yes |
| com.animania.common.tileentities.TileEntityNest                                      | minecraft:tileentitynest                                   |      yes |
| com.animania.common.tileentities.TileEntitySaltLick                                  | minecraft:tileentitysaltlick                               |        - |
| com.animania.common.tileentities.TileEntityTrough                                    | minecraft:tileentitytrough                                 |      yes |
| com.chaosthedude.realistictorches.blocks.te.TEMovingLightSource                      | minecraft:te_moving_light_source                           |      yes |
| com.ferreusveritas.dynamictrees.tileentity.TileEntityBonsai                          | minecraft:bonsai_tile_entity                               |        - |
| com.ferreusveritas.dynamictrees.tileentity.TileEntitySpecies                         | minecraft:species_tile_entity                              |        - |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityDragonforge                   | minecraft:dragonforge                                      |      yes |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityDragonforgeBrick              | minecraft:dragonforgebrick                                 |        - |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityDragonforgeInput              | minecraft:dragonforgeinput                                 |      yes |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityDummyGorgonHead               | minecraft:dummygorgonheadidle                              |        - |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityDummyGorgonHeadActive         | minecraft:dummygorgonheadactive                            |        - |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityEggInIce                      | minecraft:egginice                                         |      yes |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityJar                           | minecraft:jar                                              |      yes |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityLectern                       | minecraft:lectern                                          |      yes |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityMyrmexCocoon                  | minecraft:myrmexcocoon                                     |        - |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityPixieHouse                    | minecraft:pixie_house                                      |      yes |
| com.github.alexthe666.iceandfire.entity.tile.TileEntityPodium                        | minecraft:podium                                           |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityAutoCurdler                  | minecraft:rats.auto_curdler                                |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityMilkCauldron                 | minecraft:rats.cauldron_milk                               |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityRatCageBreedingLantern       | minecraft:rats.rat_cage_breeding_lantern                   |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityRatCageDecorated             | minecraft:rats.rat_cage_decorated                          |        - |
| com.github.alexthe666.rats.server.entity.tile.TileEntityRatCraftingTable             | minecraft:rats.rat_crafting_table                          |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityRatHole                      | minecraft:rats.rat_hole                                    |        - |
| com.github.alexthe666.rats.server.entity.tile.TileEntityRatTrap                      | minecraft:rats.rat_trap                                    |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityRatTube                      | minecraft:rat_tube                                         |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityRatlantisPortal              | minecraft:rats.ratlantis_portal                            |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityUpgradeCombiner              | minecraft:rats.upgrade_combiner                            |      yes |
| com.github.alexthe666.rats.server.entity.tile.TileEntityUpgradeSeparator             | minecraft:rats.upgrade_separator                           |      yes |
