+--------------------------------+--------------------------------+------------------------------------------+------------+-------------------------------------+
| Registry name                  | Career                         | Buy 1                                    | Buy 2      | Sell                                |
+--------------------------------+--------------------------------+------------------------------------------+------------+-------------------------------------+
| minecraft:priest               | cleric                         |                                          |            |                                     |
|                                |                                | Rotten Flesh                             |            | Emerald                             |
|                                |                                | Gold Ingot                               |            | Emerald                             |
|                                |                                | Emerald                                  |            | Redstone                            |
|                                |                                | Emerald                                  |            | Lapis Lazuli                        |
|                                |                                | Emerald                                  |            | Ender Pearl                         |
|                                |                                | Emerald                                  |            | Glowstone                           |
|                                |                                | Emerald                                  | Book       | Enchanted Book                      |
|                                |                                | Emerald                                  |            | Bottle o' Enchanting                |
| minecraft:nitwit               | nitwit                         |                                          |            |                                     |
| minecraft:librarian            | librarian                      |                                          |            |                                     |
|                                |                                | Paper                                    |            | Emerald                             |
|                                |                                | Book                                     | Emerald    | Enchanted Book                      |
|                                |                                | Enchanted Book                           |            | Emerald                             |
|                                |                                | Book                                     |            | Emerald                             |
|                                |                                | Emerald                                  |            | Compass                             |
|                                |                                | Emerald                                  |            | Bookshelf                           |
|                                |                                | Written Book                             |            | Emerald                             |
|                                |                                | Emerald                                  |            | Clock                               |
|                                |                                | Emerald                                  |            | Glass                               |
|                                |                                | Book                                     | Emerald    | Enchanted Book                      |
|                                |                                | Book                                     | Emerald    | Enchanted Book                      |
|                                |                                | Emerald                                  |            | Name Tag                            |
|                                |                                | ?                                        | ?          | [Exception. Treasure map?]          |
|                                |                                | ?                                        | ?          | [Exception. Treasure map?]          |
|                                |                                | ?                                        | ?          | [Exception. Treasure map?]          |
|                                |                                | ?                                        | ?          | [Exception. Treasure map?]          |
|                                |                                | ?                                        | ?          | [Exception. Treasure map?]          |
|                                |                                | ?                                        | ?          | [Exception. Treasure map?]          |
|                                |                                | ?                                        | ?          | [Exception. Treasure map?]          |
| minecraft:librarian            | cartographer                   |                                          |            |                                     |
|                                |                                | Paper                                    |            | Emerald                             |
|                                |                                | Compass                                  |            | Emerald                             |
|                                |                                | Emerald                                  |            | Empty Map                           |
| cyclicmagic:sage               | sage                           |                                          |            |                                     |
|                                |                                | Gunpowder                                |            | Emerald                             |
|                                |                                | Nether Wart                              |            | Emerald                             |
|                                |                                | Bone                                     |            | Emerald                             |
|                                |                                | Raw Mutton                               |            | Emerald                             |
|                                |                                | Blaze Rod                                |            | Emerald                             |
|                                |                                | Slimeball                                |            | Emerald                             |
|                                |                                | Ghast Tear                               |            | Emerald                             |
|                                |                                | Redstone                                 |            | Emerald                             |
|                                |                                | Glowstone Dust                           |            | Emerald                             |
|                                |                                | Ender Pearl                              |            | Emerald                             |
|                                |                                | Written Book                             |            | Emerald                             |
|                                |                                | Saddle                                   |            | Emerald                             |
|                                |                                | Name Tag                                 |            | Emerald                             |
|                                |                                | Cake                                     |            | Emerald                             |
|                                |                                | Pumpkin Pie                              |            | Emerald                             |
| gravestone-extended:undertaker | gravestone-extended:undertaker |                                          |            |                                     |
|                                |                                | Emerald                                  |            | Skeleton Skull                      |
|                                |                                | Emerald                                  |            | Zombie Head                         |
|                                |                                | Emerald                                  |            | Head                                |
|                                |                                | Emerald                                  |            | Creeper Head                        |
|                                |                                | Emerald                                  |            | Wither Skeleton Skull               |
| minecraft:butcher              | butcher                        |                                          |            |                                     |
|                                |                                | Raw Porkchop                             |            | Emerald                             |
|                                |                                | Raw Chicken                              |            | Emerald                             |
|                                |                                | Rotten Flesh                             |            | Raw Mutton                          |
|                                |                                | Emerald                                  |            | Truffle Soup                        |
|                                |                                | Emerald                                  |            | Roast Prime Beef                    |
|                                |                                | Emerald                                  |            | Roast Prime Pork                    |
|                                |                                | Emerald                                  |            | Roast Prime Mutton                  |
|                                |                                | Emerald                                  |            | Cooked Horse                        |
|                                |                                | Emerald                                  |            | Roast Prime Chevon                  |
|                                |                                | Emerald                                  |            | Hydra Chop                          |
|                                |                                | Emerald                                  |            | Confit Byaldi                       |
|                                |                                | Emerald                                  |            | Potato Knishes                      |
|                                |                                | Emerald                                  |            | Sausage Bean Melt                   |
|                                |                                | Emerald                                  |            | Bacon Cheeseburger                  |
|                                |                                | Emerald                                  |            | Deluxe Cheeseburger                 |
|                                |                                | Emerald                                  |            | Beans on Toast                      |
|                                |                                | Emerald                                  |            | Meat Pie                            |
|                                |                                | Emerald                                  |            | Chiko Roll                          |
|                                |                                | Emerald                                  |            | Spinach Pie                         |
|                                |                                | Emerald                                  |            | Coleslaw Burger                     |
|                                |                                | Emerald                                  |            | Hot and Sour Soup                   |
|                                |                                | Emerald                                  |            | Patreon Pie                         |
|                                |                                | Emerald                                  |            | Chili Dog                           |
|                                |                                | Emerald                                  |            | Tunafish Sandwich                   |
|                                |                                | Emerald                                  |            | Clam Chowder                        |
|                                |                                | Emerald                                  |            | Breakfast Burrito                   |
|                                |                                | Emerald                                  |            | Chips and Salsa                     |
|                                |                                | Emerald                                  |            | Crawfish Etoufee                    |
|                                |                                | Emerald                                  |            | Sauced Lamb Kebab                   |
